;year_month;uf;product;unit;volume;created_at
188;2013-09-01;BAHIA;ÓLEO DIESEL S-10;(m3);48378.952;2022-09-12 23:11:30.887749
189;2013-10-01;BAHIA;ÓLEO DIESEL S-10;(m3);54640.601;2022-09-12 23:11:30.887749
190;2013-11-01;BAHIA;ÓLEO DIESEL S-10;(m3);55057.999;2022-09-12 23:11:30.887749
191;2013-12-01;BAHIA;ÓLEO DIESEL S-10;(m3);52917.869;2022-09-12 23:11:30.887749
192;2013-01-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);46251.409;2022-09-12 23:11:30.887749
193;2013-02-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);45857.426;2022-09-12 23:11:30.887749
194;2013-03-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);55960.055;2022-09-12 23:11:30.887749
195;2013-04-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);62454.572;2022-09-12 23:11:30.887749
196;2013-05-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);70907.448;2022-09-12 23:11:30.887749
197;2013-06-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);72272.267;2022-09-12 23:11:30.887749
198;2013-07-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);84285.258;2022-09-12 23:11:30.887749
199;2013-08-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);92049.299;2022-09-12 23:11:30.887749
200;2013-09-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);93379.884;2022-09-12 23:11:30.887749
201;2013-10-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);102297.806;2022-09-12 23:11:30.887749
202;2013-11-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);99560.431;2022-09-12 23:11:30.887749
203;2013-12-01;MINAS GERAIS;ÓLEO DIESEL S-10;(m3);92958.034;2022-09-12 23:11:30.887749
204;2013-01-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);7078.0;2022-09-12 23:11:30.887749
205;2013-02-01;ESPÍRITO SANTO;ÓLEO DIESEL S-10;(m3);7099.0;2022-09-12 23:11:30.887749
